NEO_REFERENCE_ID,EST_DIA_IN_M(MIN),EST_DIA_IN_M(MAX),RELATIVE_VELOCITY_KM_PER_SEC,MISS_DIST.(KILOMETERS),PERIHELION_DISTANCE,APHELION_DIST,PERIHELION_TIME,MEAN_ANOMALY,MEAN_MOTION,HAZARDOUS
3703080,127.2198785,284.4722965,6.115834389,62753692.0,0.808258933,2.005763673,2458161.642,264.8375333,0.590551388,True
3723955,146.0679643,326.6178974,18.11398503,57298148.0,0.718199616,1.497352293,2457794.969,173.741112,0.845329788,False
2446862,231.5021222,517.6544822,7.590711162,7622911.5,0.950790957,1.966856672,2458120.468,292.8936538,0.55937082,True
3092506,8.801465209,19.68067451,11.1738745,42683616.0,0.983901567,1.527904212,2457902.337,68.74100662,0.700277196,False
3514799,127.2198785,284.4722965,9.840831054,61010824.0,0.967686636,1.483542837,2457814.455,135.1421327,0.726395446,True
3671135,319.5618867,714.5621017,10.80884396,58759768.0,0.577799788,2.069264572,2458009.403,354.2373683,0.647295095,False
2495323,319.5618867,714.5621017,10.80884159,58759532.0,0.577799731,2.069264593,2458009.403,354.2373962,0.647295109,False
2153315,384.1978911,859.0926012,24.42188399,19324928.0,0.680904529,1.794044544,2458242.439,186.7769323,0.715977982,False
2306383,133.2155667,297.8790628,12.89960972,22709816.0,0.393039646,1.359211087,2457900.77,119.8613823,1.201862243,True
3444370,88.01465209,196.8067451,22.42136631,30075154.0,0.426618327,1.201135123,2457996.36,5.556806413,1.342351124,False
3448992,18.38886721,41.1187571,17.27461146,64479012.0,0.986625193,1.494953443,2457935.033,46.68495945,0.713110786,False
3611400,26.58,59.43468684,12.11850995,53825524.0,0.62617688,1.234290608,2457939.713,66.77697674,1.098540163,False
2162854,402.3045798,899.5803882,10.82992629,64425220.0,1.125334586,1.52051299,2457976.985,15.23187455,0.647741668,False
3764806,24.24124811,54.20507863,25.21128858,74196656.0,0.467612806,1.207501211,2457925.368,96.60735473,1.285826904,False
3314405,265.8,594.3468684,3.089003929,35727636.0,1.218854372,2.697454147,2457771.553,82.35082443,0.359694437,False
3426410,167.7084622,375.0075218,20.01924193,71520800.0,0.496790502,1.318938684,2457968.757,36.16756329,1.139390137,False
3666785,92.16265485,206.0819612,8.526320844,69003400.0,0.863536992,1.469502839,2457770.913,179.6031186,0.782286503,False
3702321,76.65755735,171.4115092,7.919524045,16047525.0,0.775377062,1.052083571,2458138.756,203.9869516,1.128436232,False
3719196,16.0160338,35.8129403,4.655478593,38220508.0,0.77813966,1.100138258,2458042.506,314.5094251,1.082952201,False
3447920,201.6299194,450.8582062,2.164372849,63257484.0,1.172302908,2.78463971,2457957.835,15.11056876,0.354168098,False
3660308,44.11182,98.63702813,10.55151977,2952796.75,0.8163539,1.899484655,2457913.298,54.31490079,0.622863875,False
3348144,44.11182,98.63702813,17.56490765,64932800.0,0.566658212,1.313993469,2458097.467,255.1877435,1.080902491,False
3646046,146.0679643,326.6178974,19.22316546,15266183.0,0.888676013,1.479310862,2457816.155,141.0296512,0.765032933,True
3780693,10.63542812,23.78154024,7.16414806,31654442.0,0.705535845,1.363199477,2457901.624,92.63701924,0.936896621,False
2162173,366.9061375,820.4270649,13.57630264,52470692.0,0.963205914,1.415915205,2457797.751,154.0217068,0.759668711,True
3092312,80.27031673,179.4898848,11.47029804,7744736.5,0.706072403,1.763802986,2457751.689,178.6926558,0.718185287,False
3600106,5.064714588,11.32504611,9.874143162,21946004.0,0.905713006,1.446664836,2457796.516,157.610209,0.772660031,False
3684008,152.9519353,342.0109247,15.93870716,25865906.0,0.811504136,2.073325675,2458075.09,317.5623087,0.568943017,False
